City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,sidrolandia,-20.9319,-54.9614,64.24,44,3,6.76,BR,1721713829
84,mugia,43.1041,-9.2179,62.17,88,5,20.67,ES,1721713829
85,albany,42.6001,-73.9662,70.43,69,100,3.76,US,1721713829
86,rudbar,30.15,62.6,101.28,12,96,16.78,AF,1721713830
87,remire-montjoly,4.9167,-52.2667,77.04,94,0,1.14,GF,1721713830
88,aurec-sur-loire,45.3691,4.2049,60.76,91,31,1.34,FR,1721713830
89,taoudenni,22.6783,-3.9836,94.71,33,82,7.11,ML,1721713830
90,avarua,-21.2078,-159.775,69.85,78,40,4.61,CK,1721713830
91,altai,46.3722,96.2583,65.64,36,100,4.85,MN,1721713830
92,egilsstadir,65.2653,-14.3948,46.31,76,75,3.44,IS,1721713830
93,bredasdorp,-34.5322,20.0403,44.71,83,29,4.34,ZA,1721713831
94,rikaze,29.25,88.8833,55.53,71,100,3.56,CN,1721713831
95,kodiak,57.79,-152.4072,54.91,100,100,0.0,US,1721713831
96,brookings,44.3114,-96.7984,70.12,99,42,3.36,US,1721713558
97,kapuskasing,49.4169,-82.4331,53.69,100,100,2.3,CA,1721713831
98,sumbawa besar,-8.5,117.4333,90.3,47,34,9.8,ID,1721713831
99,gillette,44.2911,-105.5022,71.02,48,0,9.22,US,1721713831
100,corner brook,48.9667,-57.9484,59.16,83,12,7.9,CA,1721713832
101,blackmans bay,-43.0167,147.3167,61.74,48,100,3.0,AU,1721713832
102,moth,25.7167,78.95,99.75,41,87,3.74,IN,1721713832
103,sirte,31.2089,16.5887,82.96,66,0,7.74,LY,1721713832
104,boguchany,58.3814,97.4531,66.49,98,100,6.67,RU,1721713832
105,naze,28.3667,129.4833,85.12,77,24,14.36,JP,1721713832
106,imbituba,-28.24,-48.6703,62.85,85,1,3.09,BR,1721713832
107,tazacorte,28.629,-17.9293,70.77,96,100,16.11,ES,1721713833
108,las tablas,7.7667,-80.2833,80.17,99,99,3.38,PA,1721713833
109,uturoa,-16.7333,-151.4333,78.04,69,7,21.88,PF,1721713833
110,new norfolk,-42.7826,147.0587,62.92,58,76,9.01,AU,1721713833
111,longyearbyen,78.2186,15.6401,49.84,93,75,0.0,SJ,1721713833
112,diapaga,12.0708,1.7889,72.86,95,100,6.24,BF,1721713833
113,lethem,3.3803,-59.7968,74.41,94,90,5.17,GY,1721713833
114,dire,12.2833,-10.9667,73.8,97,99,0.76,ML,1721713834
115,mogok,22.9167,96.5,65.01,97,100,2.8,MM,1721713834
116,sirjan,29.452,55.6814,93.11,16,55,5.01,IR,1721713834
117,ust-nera,64.5667,143.2,73.04,58,98,3.62,RU,1721713834
118,ulanhot,46.0833,122.0833,76.14,75,100,11.41,CN,1721713834
119,dalandzadgad,43.5708,104.425,82.44,23,100,18.77,MN,1721713834
120,kerikeri,-35.2268,173.9474,54.91,73,1,4.0,NZ,1721713834
121,port elizabeth,-33.918,25.5701,49.32,82,0,3.44,ZA,1721713835
122,hovd,48.0056,91.6419,76.15,29,16,7.83,MN,1721713835
123,sant antoni de portmany,38.9807,1.3036,73.09,83,0,1.14,ES,1721713835
124,hithadhoo,-0.6,73.0833,85.19,73,17,13.11,MV,1721713835
125,pauini,-7.7136,-66.9764,70.39,59,89,0.94,BR,1721713835
126,kargasok,59.0556,80.8572,68.54,51,64,5.57,RU,1721713836
127,enewetak,11.3474,162.3373,83.39,80,59,17.45,MH,1721713836
128,choibalsan,48.0667,114.5,80.2,53,81,6.93,MN,1721713836
129,camayenne,9.535,-13.6878,78.89,94,75,9.22,GN,1721713836
130,auki,-8.7676,160.7034,83.8,69,18,4.29,SB,1721713836
131,vadso,70.0744,29.7487,72.48,52,0,4.61,NO,1721713836
132,birzebbuga,35.8258,14.5269,77.68,78,20,20.71,MT,1721713837
133,miri,4.4148,114.0089,89.74,79,40,0.0,MY,1721713837
134,afaahiti,-17.75,-149.2833,75.07,78,57,28.23,PF,1721713837
135,thompson,55.7435,-97.8558,50.16,76,20,3.44,CA,1721713837
136,codrington,-38.2667,141.9667,57.72,56,100,16.8,AU,1721713837
137,piti village,13.4626,144.6933,88.68,74,75,11.5,GU,1721713837
138,nova olimpia,-14.7972,-57.2881,64.4,40,8,1.68,BR,1721713838
139,grand-bourg,15.8835,-61.3148,80.55,74,3,19.15,GP,1721713838
140,riversdale,18.1659,-76.9642,78.04,86,19,1.83,JM,1721713838
141,severo-yeniseyskiy,60.3725,93.0408,71.64,68,100,4.76,RU,1721713838
142,sandwip,22.4678,91.4561,87.84,88,83,28.1,BD,1721713838
143,saimbeyli,37.9863,36.0906,74.98,29,0,5.35,TR,1721713838
144,lebu,-37.6167,-73.65,45.59,86,20,2.75,CL,1721713632
145,saskatoon,52.1168,-106.6345,62.58,93,0,8.05,CA,1721713839
146,margaret river,-33.95,115.0667,57.06,55,54,14.54,AU,1721713839
147,dalmau,26.0667,81.0333,97.68,48,86,7.09,IN,1721713839
148,bam,29.106,58.357,100.9,11,87,6.22,IR,1721713839
149,cromwell,41.5951,-72.6454,74.21,94,100,3.44,US,1721713806
150,aasiaat,68.7098,-52.8699,36.63,97,93,3.98,GL,1721713839
151,hirara,24.8,125.2833,82.67,89,75,20.71,JP,1721713839
152,shalqar,47.8333,59.6,88.14,28,18,6.38,KZ,1721713839
153,sitka,57.0531,-135.33,58.89,82,100,0.0,US,1721713840
154,abilene,32.4487,-99.7331,73.62,86,100,3.44,US,1721713840
155,woods creek,47.8787,-121.8985,59.13,89,44,2.89,US,1721713840
156,olonkinbyen,70.9221,-8.7187,40.82,93,79,21.88,SJ,1721713840
157,ulan bator,47.9077,106.8832,73.53,53,40,4.47,MN,1721713840
158,fort st. john,56.2499,-120.8529,66.09,82,100,17.27,CA,1721713840
159,onega,63.9061,38.1404,67.71,52,10,2.21,RU,1721713840
160,as sulayyil,20.4607,45.5779,95.25,11,97,1.03,SA,1721713841
161,jinxiang,27.4327,120.6062,87.22,76,49,10.6,CN,1721713841
162,papao,-17.75,-149.55,76.68,78,39,31.23,PF,1721713841
163,corumba,-19.0092,-57.6533,67.8,39,6,1.81,BR,1721713611
164,ulladulla,-35.35,150.4667,61.77,58,5,4.54,AU,1721713841
165,kruisfontein,-34.0033,24.7314,49.48,50,32,6.24,ZA,1721713841
166,mao,39.8885,4.2658,72.16,83,0,1.14,ES,1721713841
167,zapadnaya dvina,56.259,32.0745,67.3,61,6,6.55,RU,1721713842
168,kampene,-3.6,26.6667,76.1,68,11,1.99,CD,1721713842
169,ghanzi,-21.5667,21.7833,58.42,19,0,5.55,BW,1721713842
170,marabba,12.35,32.1833,79.54,68,95,16.06,SD,1721713842
171,suileng,47.25,127.0833,86.85,43,100,3.71,CN,1721713842
172,caleta de carquin,-11.0925,-77.6267,60.66,86,25,10.27,PE,1721713842
173,saint-joseph,-21.3667,55.6167,77.38,61,12,3.0,RE,1721713842
174,vernon,50.2581,-119.2691,78.33,33,7,2.3,CA,1721713843
175,udachny,66.4167,112.4,63.32,34,60,11.97,RU,1721713843
176,georgetown,5.4112,100.3354,93.13,58,20,12.66,MY,1721713843
177,saint-pierre,-21.3393,55.4781,78.48,47,0,3.44,RE,1721713843
178,sisimiut,66.9395,-53.6735,43.65,81,27,14.12,GL,1721713843
179,qaqortoq,60.7167,-46.0333,45.54,96,100,2.37,GL,1721713843
180,callao,-12.0667,-77.15,62.89,77,100,6.91,PE,1721713713
